"","Name","Birth.name.other.names","DOB","DOD","Official.fb.page..twitter.handle..website.and.other.online.profiles","Professions","Top.picks..will.be.better.if.we.used.an.algo...like.most.rated.movies.","Awards.and.recognitions","NA.","Brief.description","Image..source.","Known.For","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77","NA..78","NA..79","NA..80","NA..81","NA..82"
"11","Aravind Akash","Aravind akash","30/11/1976",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Aravind Akash is an Indian actor.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"12","Arjun Sarja","Srinivasa Sarja","15/08/1964",Na,"fb - , twitter - ","Actor, director, producer, screenwriter",Na,Na,Na,"""Arjun Sarja is an Indian film actor and director. He has primarily acted in Tamil and Kannada films and also appeared in Malayalam and Telugu films.""","http://gallery.southdreamz.com/cache/actors/arjun/tamil-actor-arjun-exclusive-stills-4_720_southdreamz.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"13","Arulnithi","Arulnithi tamilarasu","21/07/1987",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Arulnithi Tamilarasu is an Indian Tamil actor, who is best known for playing the lead role in Vamsam, directed by Pandiraj.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"14","Arun Vijay","Arun / Arun Kumar","19/11/1977",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Arun Vijay (born 19 November 1977) is a Tamil film actor. He is the only son of veteran film actor Vijayakumar and has been active in the Tamil film industry since 1995. He is also a stunt coordinator in most of his films. An adventurous person by nature, he has his license to skydive from the United States Parachute Association.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"15","Arvind Swamy","Arvind Swamy","18/06/1967",Na,"fb - , twitter - ","Actor, Businessman",Na,Na,Na,"""Arvind Swamy is an Indian film actor known for his works predominantly in Tamil cinema. He was introduced as an actor by Mani Ratnam in the drama film Thalapathi (1991) and subsequently went on to play the lead role again in Ratnam's Roja (1992) and Bombay (1995). Swamy went on to star in other ventures including the Malayalam film Devaraagam (1996) and Rajiv Menon's, Minsaara Kanavu, and Mani Ratnam's Alaipayuthey (2000).Swamy spent a decade in businesses ranging from engineering erection and construction, international trade to global outsourcing before returning to acting in Mani Ratnam's production, 2013 film Kadal.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"16","Arya","Jamshad Ceethirakath","29537",Na,"fb - https://www.facebook.com/arya.official?fref=ts , twitter - ","Actor, producer",Na,Na,Na,"","http://kollyfreaks.com/home/headgallery/arya/2014/aug/pics/thumbs/aar.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"17","Ashish Vidyarthi","Ashish Vidyarthi","19/06/1962",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Ashish Vidyarthi is an Indian film actor known for his works predominantly in Bollywood and Telugu cinema. He has won the National Film Award for Best Supporting Actor in 1995. He is noted for his antagonist characters.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"18","Ashok","Ashok Kumar Balakrishnan","29932",Na,"fb - , twitter - ","Actor",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"19","Ashok Selvan","Ashok Selvan","32731",Na,"fb - https://www.facebook.com/AshokSelvan.Official?fref=ts , twitter - ","Actor",Na,Na,Na,"""Ashok Selvan is a Tamil film actor. He made his breakthrough playing one of the lead roles in Soodhu Kavvum (2013), before gaining critical acclaim for his performances in C. V. Kumar's productions Pizza 2: The Villa and Thegidi (2014).""","http://mimg.sulekha.com/ashok-selvan/images/event-photos/thegidi-fame-ashok-selvan-at-sarabham-audio-launch/thegidi-fame-ashok-selvan-at-sarabham-audio-launch-stills01.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"20","Ashwin Kakumanu","Ashwin Kakumanu","31904",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Ashwin Kakumanu (born July 5, 1987 in Chennai) is an Indian film actor, who is best known for his role in Venkat Prabhu's action thriller, Mankatha.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"21","Atul Kulkarni","Atul Kulkarni","10/9/1965",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Atul Kulkarni (born 10 September 1965) is a National Award winning Indian film actor who has acted in multiple language films. Kulkarni won the National Award for the best supporting actor for the films Hey Ram and Chandni Bar. Kulkarni is also the president of Quest, a research action organization concentrating on enhancing quality of education.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"22","Azhagam Perumal","Azhagam Perumal","25/05/1965",Na,"fb - , twitter - ","Director, Actor",Na,Na,Na,"""N. Azhagam Perumal is a Tamil film director and actor.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"23","Bala","Bala kumar","19/12/1982",Na,"fb - , twitter - ","Actor, Director",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"24","Bala Saravanan","Bala Saravanan","31819",Na,"fb - , twitter - ","Actor",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"25","Bala Singh","Bala Singh",Na,Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Bala Singh is an Indian actor who has appeared in Tamil language films. After making his debut in Nassar's Avatharam (2009), he has appeared as the antagonist in over a hundred films.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"26","Bentley Mitchum","Bentley Mitchum","22/02/1967",Na,"fb - , twitter - ","Actor, director, screenwriter",Na,Na,Na,"""Bentley Mitchum (born in 1967) is an American actor who has appeared in about 40 films and TV series, including Sundance grand jury prize winner Ruby in Paradise, Man in the Moon, The Wonder Years, Conviction, Susie Q, Meatballs 4 and Demonic Toys and Shark Attack.Bentley also became the first American actor to play lead in an Indian Kollywood film, Little John opposite Jyothika.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"27","Bharath","Bharath","21/07/1983",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Bharath (Tamil: பரத்; born on 21 July 1984) is an Indian actor, who appears in Tamil films. He is best known for his debut Tamil movie (Boys 2003) and for his critically acclaimed performances in Chellamae (2004), Kaadhal (2004), Pattiyal (2005) and Veyil (2006).""","http://media2.theranking.com/card/1438708/image/81f1047bce7f366fb023ba05c4da6c71/resize_image.jpg",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"28","Murali","Bharath Murali (?)","19/05/1964",Na,"fb - , twitter - ","Actor",Na,Na,Na,"",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"29","Bharath Reddy","Bharath Reddy",Na,Na,"fb - , twitter - ","Actor, Cardiologist",Na,Na,Na,"""Bharath Reddy About this sound pronunciation (born 12 November 1954, in Chennai) is a former Indian cricketer.""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
"30","Biju Menon","Biju Menon","25820",Na,"fb - , twitter - ","Actor",Na,Na,Na,"""Biju Menon is an Indian film actor, who has starred in over 100 Malayalam films, along with a couple of Tamil and Telugu films. He appears mostly in supporting roles,second hero and occasionally as Hero, but has also acted in antagonistic roles. He made his debut in 1995 in Puthran.Menon has performed in films such as Mannar Mathai Speaking (1995), Krishnagudiyil Oru Pranayakalathu (1997), Kannezhuthi Pottum Thottu (1999), Madhuranombarakattu (2000), Meghamalhar (2001), Shivam (2002), Marykkundoru Kunjaadu (2010),Seniors(2011), Spanish Masala (2011), Ordinary, Mayamohini (2012).""",Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
